ResourceID,Geometric Place Expression,External Dataset,External Entity,External Dataset Resource Name,Place Name,Name Type,External Resource Site Class,External Resource Site Type,External Resource Count,Cultural Period Type,Cultural Sub-period Type,Remark,Remark Type,External Entity
55d5a606-0100-4d26-a758-5d04e7ca87c5,POINT (91.934053 46.922421),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0050,"""Шомбуузын бэлчир""",Toponym,Burial Site,Xiongnu Burial,30,Xiongnu Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
bcb7fa2a-2681-418b-b9f3-0d732c9a154c,POINT (91.84406667 47.06971667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0051,"""Мандахын ам""",Toponym,Rock Art/Stone Inscription Site,Petroglyph,1,Undetermined,,,,99d2f041-7dfc-436b-9922-0a8643e97897
8580c544-71c4-4d20-938b-2933cdae8121,POINT (91.60569444 47.09708333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0052,"""Мазаалайн амны хүн чулуун хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
a7a5f76b-8186-49df-b341-546e099a94be,POINT (91.58616667 47.09397222),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0053,"""Долоон нуур 1""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
653cff30-60ac-4c04-8366-857b4378f09b,POINT (91.58525 47.09691667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0054,"""Долоон нуур 2""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
a95b16af-3a64-4c3e-8269-8dc7f089c84e,POINT (91.58713889 47.10241667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0055,"""Улиастай судалын эх""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
b24e92cf-4fa6-4e3e-bfc6-62c8f99f0466,POINT (91.49088889 46.99816667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0056,"""Хар чулуутын сүг зураг""",Toponym,Rock Art/Stone Inscription Site,Petroglyph,1,Undetermined,,,,99d2f041-7dfc-436b-9922-0a8643e97897
284364ce-7bb0-46f0-8cab-6727243a3562,POINT (91.66755556 47.23211111),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0057,"""Тулгын 3 чулуу""",Toponym,Stone Stele/Memorial Stone Monument,Undetermined,1,Undetermined,,"""3 stones for making fire and cooking, habitation place""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
09b324f7-1738-4cad-90e5-27aeb9ed2e70,POINT (91.89852778 46.93711111),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0058,"""Хэрсэн чулуу""",Toponym,Natural Site,Rock,1,Undetermined,,"""probably a natural rock, no detailed description available""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
5e747cab-8107-49ba-b186-2d911a4080d6,POINT (91.77044444 47.03188889),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0059,"""Мэлхий хад""",Toponym,Natural Site,Rock,1,Undetermined,,"""probably a natural rock, no detailed description available""",General Description,99d2f041-7dfc-436b-9922-0a8643e97897
